,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,target
index_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,11.0,0
index_69,2.7,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0
index_70,8.6,6.2,1.0,0.0,13.2,10.0,5.7,3.2,0.0,2.5,0
index_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_72,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,12.7,15.4,0
index_73,3.8,2.9,0.0,4.0,10.0,0.0,0.0,11.0,0.0,0.0,0
index_74,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.2,0.0,0.0,0
index_75,6.4,7.2,0.0,1.1,0.0,1.6,0.0,0.0,14.7,0.7,0
index_76,0.0,1.2,0.0,0.0,0.0,1.8,0.0,0.0,1.8,3.3,0
index_77,2.1,0.6,0.0,0.7,1.3,0.5,2.7,0.0,0.9,0.0,0
index_78,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_79,0.0,1.0,0.6,4.5,2.0,0.0,0.0,21.8,6.6,4.6,0
index_80,2.6,4.2,4.9,6.8,4.2,1.1,1.3,1.6,15.8,0.0,0
index_81,0.0,0.5,0.0,0.5,2.3,0.0,0.0,1.3,0.0,0.0,0
index_82,0.0,2.6,1.0,2.4,3.4,0.0,2.2,0.1,0.0,0.0,0
index_83,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_84,0.8,2.5,8.3,0.0,0.8,2.8,1.6,1.2,1.5,23.8,0
index_85,6.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_86,0.0,0.0,0.0,14.7,0.0,2.3,0.0,0.0,2.2,1.1,0
index_87,20.6,0.0,5.4,14.7,10.8,9.8,4.7,0.5,11.8,9.3,1
index_88,6.8,5.1,13.1,8.0,7.9,0.0,15.0,10.7,0.0,1.3,1
index_89,0.9,2.1,1.9,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0
index_90,0.0,0.0,0.0,3.0,1.4,1.5,0.0,1.1,3.9,0.0,0
index_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0
index_92,3.9,9.9,9.5,0.6,7.0,6.6,4.2,2.1,7.6,3.4,0
index_93,3.9,14.3,13.7,2.5,3.2,2.5,13.8,4.4,6.9,9.6,1
index_94,5.5,2.0,5.3,0.5,0.0,0.0,8.4,0.0,14.0,0.0,0
index_95,0.0,1.3,7.0,3.8,1.1,0.0,4.5,0.0,2.2,0.8,0
index_96,0.0,0.0,0.0,0.0,0.0,4.9,3.8,2.6,0.0,2.7,0
index_97,14.8,1.1,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.5,0
index_98,0.0,0.0,6.8,4.7,14.0,1.1,0.6,0.0,1.7,0.0,0
index_99,0.0,1.1,2.0,1.9,0.0,1.1,1.2,1.1,2.1,9.5,0
index_100,5.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0
index_103,3.9,3.1,2.3,7.8,2.1,4.7,22.5,16.4,1.3,1.0,1
index_104,0.0,0.0,0.0,0.0,5.1,2.5,1.3,0.5,1.0,0.0,0
index_105,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0
index_106,1.8,0.8,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0
index_107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,9.8,7.4,0
index_108,0.0,0.0,0.8,1.1,6.7,3.7,5.4,1.5,1.1,1.2,0
index_109,2.2,0.0,0.6,4.7,0.9,0.0,0.0,0.0,0.0,0.0,0
index_110,0.0,0.0,0.0,0.0,3.4,0.0,0.0,3.1,2.5,0.0,0
index_111,0.0,1.3,0.0,2.9,6.5,11.6,10.2,0.0,0.0,0.0,0
index_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
index_113,8.2,2.4,6.2,1.1,0.0,11.1,4.0,6.3,0.0,0.0,0
index_114,8.3,1.7,0.0,0.0,20.9,1.9,0.0,2.0,18.1,9.7,1
index_115,6.3,3.2,2.2,0.0,3.0,3.1,0.0,0.0,0.0,1.9,0
index_116,2.3,1.8,0.0,0.0,0.0,0.0,1.2,1.0,1.1,9.1,0
index_117,4.4,1.3,18.7,1.7,1.0,20.7,14.8,4.0,1.0,0.0,1
index_118,1.1,0.0,0.0,9.5,9.2,3.6,34.0,5.1,2.4,0.0,1
index_119,5.9,0.6,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0
index_120,0.0,18.6,0.0,6.7,16.1,15.5,17.3,7.2,9.4,8.0,1
index_121,0.0,0.0,0.6,0.7,3.6,5.4,9.7,3.8,0.0,0.0,0
index_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_123,0.0,0.0,0.5,0.6,0.0,0.0,5.0,16.6,0.8,10.9,0
index_124,1.9,3.8,3.3,18.2,4.7,0.0,19.7,7.2,12.1,14.6,1
index_125,3.4,5.0,8.2,0.0,7.9,2.7,5.7,1.1,4.7,9.9,0
index_126,7.8,9.6,12.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_127,18.2,1.1,9.9,9.0,2.7,1.0,0.5,0.0,1.1,4.2,0
index_128,24.4,2.2,0.0,0.0,0.0,1.7,4.4,1.1,0.4,12.0,0
index_129,0.9,6.1,2.2,0.0,0.0,0.0,0.0,5.0,0.0,2.3,0
index_130,8.9,3.2,2.1,8.0,0.0,2.1,2.7,7.2,0.0,0.0,0
index_131,0.0,0.0,0.0,0.0,1.0,4.1,1.0,1.1,0.5,1.0,0
index_132,1.5,8.5,8.3,10.0,4.2,4.6,2.1,3.2,1.1,0.5,0
index_133,1.0,0.7,10.0,34.9,1.4,12.2,3.0,3.0,2.0,1.0,1
index_134,0.7,0.0,0.0,0.0,0.0,0.0,18.9,1.6,4.7,12.2,0
index_135,4.9,13.2,9.1,1.0,0.0,2.2,4.6,0.0,3.0,2.1,0
index_136,7.6,1.8,13.5,1.8,12.6,5.0,4.9,1.2,9.2,10.1,1
index_137,20.1,3.4,2.4,6.0,9.4,0.0,0.0,0.0,2.8,0.0,0
index_138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0
index_139,13.4,2.2,2.1,1.1,0.0,4.5,20.9,11.1,6.1,6.3,1
index_140,7.0,3.3,4.1,3.5,0.0,0.0,1.9,0.0,0.0,0.0,0
index_141,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_143,0.5,5.7,0.0,10.6,1.6,1.8,5.5,1.6,0.8,1.0,0
